"T","St","St_1"
1,3299.36,3299.36
2,3356,3299.36
3,3328.08,3356
4,3317.72,3328.08
5,3333.37,3317.72
6,3333.68,3333.37
7,3333.68,3333.68
8,3333.68,3333.68
9,3332.7,3333.68
10,3307.24,3332.7
11,3255.19,3307.24
12,3172.03,3255.19
13,3172.03,3172.03
14,3172.03,3172.03
15,3172.03,3172.03
16,3180.87,3172.03
17,3155.22,3180.87
18,3149.47,3155.22
19,3149.47,3149.47
20,3149.47,3149.47
21,3149.47,3149.47
22,3149.47,3149.47
23,3213.24,3149.47
24,3203.86,3213.24
25,3250.69,3203.86
26,3287.28,3250.69
27,3268.37,3287.28
28,3268.37,3268.37
29,3268.37,3268.37
30,3268.37,3268.37
